花名,花語,關於花,品種,產地,上市日期,開花季節,花期,生日花,花語索引
翠菊,變化 相信的心 美麗的回憶,天主教神父D、lncarville在1731年時，將翠菊種子從中國送回巴黎的植物園，並就此在歐洲落地生根，之後培育出單瓣型、外型華麗的重瓣型，以及非常可愛的球狀型等多樣品種，無論顏色還是模樣都讓人眼花撩亂，「變化」的花語就是由此而來。至於「相信的心」則是因為翠菊與瑪格麗特一樣，花瓣會被一片片剝下來進行花朵占卜而得。,菊科 翠菊屬,中國北部,1~12,夏季,1星期,4/10 5/11 9/10 9/29,美，稱讚，感情，行為，其他
泡盛花,愛情來臨 自由 隨心所欲,無數小花匯聚成圓錐狀的花穗，等到花朵綻放時，看起來就像冒岀了許多輕飄飄的泡泡一樣，「泡盛草」的名稱就是來自於它的外觀。原生種泡盛花每一朵花都很迷你又十分普通，所以才會被冠上「Astilbe」這個在希臘文中意指「沒有光澤」的名字，多少有點不光彩的感覺，但是20世紀初期隨著徳國展開品種改良，不僅花朵變大了，顏色也變得豐富，現在在全世界可説是非常有人氣的一種花卉。,虎耳草科 落新婦屬,,5~7,夏季,1星期,6/1 7/11,愛情，家庭，魅力，個性
大星芹,愛的渴望 向星星許願,呈現放射狀、看起來猶如星星模樣的部分其實是總苞，大星芹(百笈草)的真正花朵是眾多從中央冒出組合成半圓形的部分，花名來由自然就是因為總苞的外型，取自於希臘文中意味著「星星」的「ASTRA」一詞。雖然出現在日本的時間比較晚，是到最近才有的一種花卉，但已經是切花或花圃的人氣選擇。大星芹很容易乾燥，適合做成乾燥花而有「愛的渴望」的花語；而「向星星許願」的花語，就是來自花朵模樣與名字帶來的聯想了。,繖形科 星芹屬,歐洲 西亞,1~12,夏季,1星期,6/6 6/24,愛情，家庭，感情，行為
馬醉木,純潔的心 犧牲 奉獻,"馬醉木是曾出現於萬葉集等古籍中，從以前就深受日本人喜愛的一款花卉，「馬醉木」的名稱據説是來自於馬兒吃到馬醉木時，就會出現像中毒一樣搖搖晃晃的醉酒情況而得名。
雖然本身是原產於日本、中國東部的植物，但是「犧牲」、「奉獻」的花語卻是由希臘神話中而來，衣索比亞公主安德洛美達因為驚人的美貌，而招致眾神憤怒，原本要被獻祭給海怪，最後卻被英雄帕修斯所救的故事。",杜鵑花科 馬醉木屬,日本 中國東部 台灣,2~4,春季,3天左右,3/9 3/24 4/4,魅力，個性
紅白頭翁,我愛你,跟隨著春風的腳步一起綻放的白頭翁，花名即是源於希臘文的「風」，至於花語也同樣與希臘神話有關。愛與美的女神阿芙羅黛蒂不小心被愛神邱比特的箭射中，愛上了美少年阿多尼斯，但是阿多尼斯卻在狩獵之際意外死亡，而白頭翁就被視為是哀悼阿多尼斯之死、是阿芙羅黛蒂流下的眼淚。也有一説是從阿多尼斯鮮血中開出來的花朵，因此擁有了「虛幻的愛」等花語。,毛茛科 銀蓮花屬,南歐 地中海東部沿岸,11~4,春季,3~5天,3/5 4/6,愛情，家庭
白白頭翁,期待,跟隨著春風的腳步一起綻放的白頭翁，花名即是源於希臘文的「風」，至於花語也同樣與希臘神話有關。愛與美的女神阿芙羅黛蒂不小心被愛神邱比特的箭射中，愛上了美少年阿多尼斯，但是阿多尼斯卻在狩獵之際意外死亡，而白頭翁就被視為是哀悼阿多尼斯之死、是阿芙羅黛蒂流下的眼淚。也有一説是從阿多尼斯鮮血中開出來的花朵，因此擁有了「虛幻的愛」等花語。,毛茛科 銀蓮花屬,南歐 地中海東部沿岸,11~4,春季,3~5天,4月2日,感情，行為
藍紫白頭翁,我在等妳,跟隨著春風的腳步一起綻放的白頭翁，花名即是源於希臘文的「風」，至於花語也同樣與希臘神話有關。愛與美的女神阿芙羅黛蒂不小心被愛神邱比特的箭射中，愛上了美少年阿多尼斯，但是阿多尼斯卻在狩獵之際意外死亡，而白頭翁就被視為是哀悼阿多尼斯之死、是阿芙羅黛蒂流下的眼淚。也有一説是從阿多尼斯鮮血中開出來的花朵，因此擁有了「虛幻的愛」等花語。,毛茛科 銀蓮花屬,南歐 地中海東部沿岸,11~4,春季,3~5天,4月6日,感情，行為
尾穗莧,頑強的精神 不朽 勤勞,花穗聖經過乾燥也不會萎縮，所以尾穗莧花名就是希臘文「不枯萎」的意思，「長生不老」、「不朽」的花語也是因此而來。尾穗莧在南美早從西元前就已經有人種植，種子是當時百姓非常重要的穀物來源之一，最近幾年日本也開始關注起它的營養價值。尾穗莧除了有花穗像是動物尾巴一樣下垂綻放的品種外，也有成束筆直朝上的類型，而這一種因為跟雞冠花長得很像，所以在日本也將「雞頭」放入花名內。,莧科 莧屬,熱帶美洲 熱帶非洲,6~1,夏季,5~7天,4/19 9/28,魅力，個性，其他
孤挺花,喋喋不休 閃耀之美,孤挺花碩大的花朵匯集在一起並朝左右綻放的模樣，彷彿正非常開心地「喋喋不休」當中。而依照英文直譯的別名「阿瑪麗麗絲Amaryllis」，則是希臘文中「閃閃發光」之意，來自於古羅馬詩人在《田園詩歌》所歌頌的牧羊女阿瑪麗麗絲之名。據聞阿瑪麗麗絲因為愛上英俊少年Alteo ，於是拿出神明給她的箭矢刺傷自己，從滴落的鮮血裡開出了美麗花朵，當Alteo愛上了這花的同時，也終於愛上了阿瑪麗麗絲。,石蒜科 孤挺花屬,南美,4~6 10,春秋季,5~7天,6/7 6/21 11/13(秋),美，稱讚，其他
鳶尾花(菖蒲),好消息 燃燒的思念,在希臘神話裡，侍女愛麗絲因為受不了天神宙斯的追求示愛，宙斯妻子希拉於是將神酒灑在愛麗絲身上，將她變成彩虹女神並成為眾神與凡間的使者，而落在地面上的酒滴就變成鳶尾花Iris ，花語也與訊息能跨越彩虹而來有關。鳶尾花的花色皆是藍紫或白色，但德國鳶尾則如同它的別名「Rainbow Flower」一樣，能夠欣賞到各種不同的繽紛花色。,鳶尾花科 鳶尾花屬,日本歐洲,10~5,初夏,3天左右,4/17 5/23 6/29,治癒，幸福，喜悅，新生活，友情
斗篷草,閃耀 奉獻的愛 初戀,在中世紀時人們相信，聚集在斗篷草葉片上的水滴，擁有不可思議的力量，因為葉子外型就像是聖母瑪利亞的斗篷，因此除了 Alchemilla的名稱以外，還被稱為「淑女的斗篷Lady's mantle」。而斗篷草所隸屬的羽衣草屬Alchemilla之名，則是源自於阿拉伯文的「煉金術」或「綢緞般柔順的頭髮」，「煉金術」是因為當時術師在從事煉金術時會用上這種植物；「綢緞般柔順的頭髮」則是來自於鬆軟小花集中綻放的模樣。,薔薇科 羽衣草屬,歐洲東部 小亞細亞,1~12,初夏,5~7天,5/7 10/24,愛情，家庭，美，稱讚
百合水仙,對未來的憧憬 持續,"百合水仙是一款原生於安地斯山脈寒冷地帶的花朵，因為花期非常長而誕生出「持續」的花語，無論是中文名稱的「百合水仙」還是英文名稱的「印加百合Lily of the Incas」，全都是因為美麗迷人的花朵姿態猶如百合一樣。而「Alstroemeria」之名是瑞典自然歷史學卡爾林奈Carl von Linne,在南美旅行途中採集百合水仙種子後，依照他的植物學家好友特別來命名，而卡爾林奈也是被尊為「現代生物分類學之父」的知名人物。",百合水仙科 百合水仙屬,南美,1~12,春季,5~7天,2/18 3/13 5/7,感情，行為，其他
黃椰子,活力,行走在街頭很容易就能發現黃椰子的蹤影，這是一種葉子像羽毛一樣展開，且充滿光澤、魅力十足的觀葉植物，一般常見到的都是長度不到2m左右的模樣，但在原產地可是能夠生長到超過10m以上，也因為非常強壯、容易栽種而被賦予了「活力」的花語。從根部汲取的水分會從葉子以水蒸氣形式蒸發，黃椰子的蒸散作用，也讓他成為擁有高效負離子的知名植物。,棕櫚科 馬鳥棕屬,馬達加斯加,1~12,,7~10,12月5日,治癒，幸福，喜悅，新生活，友情
火鶴花,熱情,散發光彩的心型模樣十分地有個性，火鶴花花語的「熱情」就與其造型非常匹配，但其實看起來像是是花瓣的部分，稱「佛焰苞」，是天南星科獨有的一種葉子，而真正的花朵則是豎立在中央，如同像棒子一樣的密集花序。而在日希因為火鶴花的形狀像是一把團扇，還有著「大紅團扇」的稱號。,天南星科 花燭屬,熱帶美洲,1~12,夏季,2星期,8/5 11/13 12/1,魅力，個性
玉米百合,團結 自豪 隱藏的愛,玉米百合纖細花莖上、十數朵花如同穗狀一般會接二連三綻放，花語的「團結」之意就是來自其成團匯聚的模樣。屬名的「小鳶尾屬Ixia」是因為葉子或花莖遭到破壞時，會產生有黏性的汁液，因此依據希臘文的「ixos (黏蟲板)」來做為屬名起源。如同長矛般的葉子還有花朵的開花樣式，都與水仙非常相似，因此在日本就特別加了「水仙」的名稱，但與石蒜科的水仙是完全不同種類。,鳶尾科 小鳶尾屬,南非,4~6,春季,7~10,3/17 4/20 5/16,愛情，家庭，治癒，幸福，喜悅，新生活，友情，魅力，個性，其他
紫花當藥,一切都好 安穩 餘裕,或紫或白的星星形狀小花，沿著植莖細密分出的枝頭開花，迷人的模樣也因此獲得了「Evening Star(夜星花)」之名。紫花當藥自古以來就是腸胃藥的一種，與帶有苦味而知名的草藥——日本當藥屬於同一類，並且有著「紫千振」的日本名稱，只不過紫花當藥的苦味較低，也沒有什麼藥效。原本紫花當藥在日本關東以西有著原生種，但隨著繁殖地年年鋭減，現在已經屬於近危物種之一。,龍膽科 張牙菜屬,中國日本朝鮮半島,9~12,秋季,1星期,9/20 10/8 10/31,治癒，幸福，喜悅，新生活，友情
醋漿草,喜悅,,,,,,,,
紫花地丁,溫順(白)誠實(紫),,,,,,,,
蒲公英,神諭 多情,,,,,,,,
澤蘭,猶豫,,,,,,,,
紫斑風鈴草,忠誠的心,,,,,,,,
紫露草,懷舊關係,,,,,,,,
虎耳草,喜歡,,,,,,,,
草莓,展現敬意,,,,,,,,
無花果,豐富,,,,,,,,
黑莓,與你一起,,,,,,,,
橘子,婚禮,,,,,,,,
鳳梨,完美無缺,,,,,,,,
葡萄,信賴,,,,,,,,
哈密瓜,滿足,,,,,,,,
蘋果,名聲,,,,,,,,
蜂室花,吸引人心 初戀回憶 甜美誘惑,,十字花科 屈曲花屬,地中海沿岸 西南亞,12~7,春季,5~7天,2/11 3/15 3/22,愛情，家庭，魅力，個性，其他
齒葉溲疏,古風 情趣,,繡球花科 溲疏屬,日本中國朝鮮半島,5~6,初夏,3天,5/22 6/4,魅力，個性
梅花,忠貞 優雅(白) 艷麗(紅),,薔薇科 李屬,中國,1~3,冬季,3~7天,1/9(白) 1/24(紅),美，稱讚，魅力，個性，魅力，個性
紫錐花,溫柔 治癒你的痛苦,,菊科 紫錐花屬,北美東部,6~10,夏季,,3/16 10/7 10/9,治癒，幸福，喜悅，新生活，友情，魅力，個性
蘆莖樹蘭,渴望孤獨 可愛的戀情,,蘭科 樹蘭屬,中美南美,1~12,不定期,2星期,6/13 11/23 12/27,愛情，家庭，感情，行為
歐石楠,孤獨 幸福,,杜鵑花科 石楠屬,歐洲南非,2~3 11~4,冬~春,10天左右,2/5 8/5 9/17 12/14,其他，幸福
紫薊,暗戀 秘密戀情,,繖形科 刺芹屬,歐洲 南北非,1~12,夏季,7~10,7/30 8/28 9/24,愛情，家庭
狐尾百合,巨大希望 遠大理想 不變的心,,阿福花科 獨尾草屬,西亞 中亞,5~8,夏季,10天,5/11 11/17,魅力，個性，感情，行為
粉團花,羈絆 發誓,,五福花科 莢蒾屬,中國日本,4~6,初夏,5天,3/6 4/24 5/28,愛情，家庭，治癒，幸福，喜悅，新生活，友情，感情，行為
伯利恆之星,純粹 天賦 純真,,天門冬科 虎眼萬年青屬,地中海沿岸 南非 西亞,1~12,春季,10~14天,1/14 2/27 9/19,魅力，個性
夢幻草,勝利 擔心害怕(紅) 掛念(白),,毛茛科 耬斗菜屬,日本東亞歐洲,4~6,春季,4~5天,5/1 5/14(紫) 6/2(紅),財運，勝利，感情，行為
黃花敗醬草,美人 虛幻的愛情,,忍冬科 敗醬屬,日本東歐,7~10,夏季,5~7天,8/16 9/11 9/17 10/25,愛情，家庭，美，稱讚
文心蘭,可愛 清純,,蘭科 文心蘭屬,中美南美西印度島,1~12,秋季,7~10天,1/15 1/31,魅力，個性
非洲菊,希望,,菊科 大丁草屬,南非,1~12,春秋季,5~10天,1/22 10/11,感情，行為
粉色非洲菊,高雅的美,,菊科 大丁草屬,南非,1~12,春秋季,5~10天,1/22 10/11,美，稱讚
紅色非洲菊,熱情積極活力,,菊科 大丁草屬,南非,1~12,春秋季,5~10天,1/22 10/11,魅力，個性
黃色非洲菊,天真無邪,,菊科 大丁草屬,南非,1~12,春秋季,5~10天,1/22 10/11,美，稱讚
橘色非洲菊,耐心 尊敬,,菊科 大丁草屬,南非,1~12,春秋季,5~10天,1/22 10/11,魅力，個性
滿天星,天真無邪 純潔 感激,,石竹科 石頭花屬,歐洲 中亞,1~12,夏季,5~7天,2/3 6/4 11/30,魅力，個性，感情，行為
嘉德麗雅蘭,魅力 優美,,蘭科 嘉德麗雅蘭屬,中南美,1~12,秋冬季,1~2星期,2/9 11/24 12/10,美，稱讚，魅力，個性
香蒲,坦率 慈愛,,香蒲科 香蒲屬,北半球溫帶地區,4~9,夏季,1星期,2/23 7/19 11/10,愛情，家庭，魅力，個性
洋甘菊,忍受苦難 治癒你,,菊科 母菊屬,歐洲 中亞,4~7,春季,4~5天,2/14 3/14 11/3,治癒，幸福，喜悅，新生活，友情，其他
海芋,凜然之美 少女的賢淑,,天南星科 馬蹄連屬,南非,1~12,夏季,1星期,7/26 10/31 11/26,美，稱讚，魅力，個性
黃色海芋,壯闊之美,,天南星科 馬蹄連屬,南非,1~12,夏季,1星期,7/26 10/31 11/26,美，稱讚
粉紅色海芋,熱情 誠意,,天南星科 馬蹄連屬,南非,1~12,夏季,1星期,7/26 10/31 11/26,魅力，個性
紫色海芋,夢想 愛情 專情,,天南星科 馬蹄連屬,南非,1~12,夏季,1星期,7/26 10/31 11/26,美，稱讚
荷包花,給我的伴侶 援助,,玄參科 荷包花屬,南美,4~6,春季,3~5天,3/3 3/27 4/24 5/23,愛情，家庭，其他
袋鼠爪花,驚訝 開朗,,血皮草科 袋鼠爪花屬,澳洲西南部,1~12,春季,1~2星期,1/6 2/5 10/3,魅力，個性，感情，行為
風鈴草,感謝 說出想法,,桔梗科 風鈴草屬,北半球溫帶地區,12~7,夏季,5~7天,4/23 5/15 7/8,感情，行為
桔梗,不變的愛,,桔梗科 桔梗屬,日本中國朝鮮半島,6~7,夏季,3~5天,9/1 10/22 10/31,愛情，家庭
紫色桔梗,氣質,,桔梗科 桔梗屬,日本中國朝鮮半島,6~7,夏季,3~5天,9/1 10/22 10/31,魅力，個性
大花蔥,性格溫和 正確的主張 不屈不撓,"沒有任何葉子的粗壯植莖頂端，數以百計的小花匯聚成圓球狀，並且會依序開出花朵來，比較大型的大花蔥直徑甚至能達到20cm,所以才會被冠上了「巨大的(Giganreum)」名字 蓬鬆圓滾滾的花型代表著「性格溫和」，而筆挺向上伸展的花莖則成為花語「不屈不撓」或「正確的主張」的由來。「Allium」在拉丁文具有「大蒜」意思，因為只要切開花莖就會散發一股獨特氣味。",蔥科 蔥屬,歐亞大陸 非洲北部 北美,3~7,春季,10天左右,5/16 7/14 7/23,魅力，個性，感情，行為
菊花,高貴,,,,,,,,魅力，個性
黃色菊花,長壽幸福,,,,,,,,治癒，幸福，喜悅，新生活，友情
白色菊花,誠實,,,,,,,,魅力，個性
紅色菊花,我愛你,,,,,,,,愛情，家庭
黃波斯菊,野性美,,,,,,,,美，稱讚
球吉利花,善變的愛情,,,,,,,,愛情，家庭
垂筒花,害羞的人,,,,,,,,魅力，個性
金魚草,多管閒事 清純的心,,,,,,,,魅力，個性，其他
金盞花,離別之痛 慈愛,,,,,,,,愛情，家庭，感情，行為
孔雀草,一見鍾情 可愛 友情,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情，魅力，個性
梔子花,幸福 帶來喜悅,,,,,,,,治癒，幸福，喜悅，新生活，友情
劍蘭,勝利 幽會 留意,,,,,,,,財運，勝利，其他
金杖球,永遠的幸福 敲擊心扉,,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
白玉草,虛假的愛,,,,,,,,愛情，家庭
新南威爾斯聖誕樹,清純,,,,,,,,魅力，個性
聖誕玫瑰,勿忘我 緩解焦慮,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為
薑荷花,忍耐,,,,,,,,其他
鐵線蓮,旅行的樂趣 美麗的心,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
火焰百合,光榮 勇敢,,,,,,,,美，稱讚，魅力，個性
雞冠花,與眾不同 時髦,,,,,,,,美，稱讚，其他
波斯菊,和諧,,,,,,,,其他
白色波斯菊,優美,,,,,,,,美，稱讚
紅色波斯菊,少女的愛情,,,,,,,,愛情，家庭
粉紅波斯菊,少女的純潔,,,,,,,,愛情，家庭
蝴蝶蘭,純粹的愛 幸福向你飛來,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
白色蝴蝶蘭,清純,,,,,,,,魅力，個性
粉紅蝴蝶蘭,我愛你,,,,,,,,愛情，家庭
棉花,優秀 有用,,,,,,,,魅力，個性
麻葉繡球,優雅 友情,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
櫻花,高雅 美麗,,,,,,,,美，稱讚
山歸來,不屈不撓 充滿活力,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
山茱萸,持續 強健,,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
宮燈百合,思鄉 祈禱 好消息,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為
仙丹花,神明的禮物 熱情,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
茵芋,清純 寬大,,,,,,,,魅力，個性
仙客來,客氣,,,,,,,,魅力，個性
白色仙客來,清純,,,,,,,,感情，行為
粉紅仙客來,害羞,,,,,,,,魅力，個性
紅色仙客來,嫉妒,,,,,,,,感情，行為
芍藥,謙虛,,,,,,,,魅力，個性
粉紅芍藥,羞澀,,,,,,,,魅力，個性
白色芍藥,幸福婚姻,,,,,,,,愛情，家庭
紅色芍藥,誠實,,,,,,,,魅力，個性
茉莉花,惹人憐愛,,,,,,,,魅力，個性，魅力，個性
白色茉莉花,柔和,,,,,,,,魅力，個性
黃色茉莉花,優美,,,,,,,,美，稱讚
高雪輪,青春氣息 依戀,,,,,,,,其他
白三葉草,想著我 幸運 約定,,,,,,,,治癒，幸福，喜悅，新生活，友情，感情，行為，其他
東亞蘭,無修飾的心 樸素 高貴美人,,,,,,,,美，稱讚，魅力，個性
白色東亞蘭,深閨美人,,,,,,,,美，稱讚
黃色東亞蘭,誠實的愛情,,,,,,,,愛情，家庭
粉紅東亞蘭,優雅女子,,,,,,,,美，稱讚
黃綠東亞蘭,野心,,,,,,,,其他
雪果,永遠奉獻,,,,,,,,其他
香豌豆,溫柔的回憶 新生活 像蝴蝶般飛舞,,,,,,,,治癒，幸福，喜悅，新生活，友情
水仙,自戀,,,,,,,,愛情，家庭
白色水仙,神秘,,,,,,,,其他
黃色水仙,回到我身邊,,,,,,,,感情，行為
粉紅水仙,優雅的女性,,,,,,,,魅力，個性
松蟲草,情趣,,,,,,,,魅力，個性
醋栗,我能取悅你,,,,,,,,感情，行為
鈴蘭,幸福 純粹 純潔,,,,,,,,治癒，幸福，喜悅，新生活，友情，魅力，個性
星辰花,不變的心,,,,,,,,感情
紫色星辰花,端莊,,,,,,,,魅力，個性
粉紅星辰花,持久不變,,,,,,,,其他
紫羅蘭,永恆的美 愛的羈絆,,,,,,,,愛情，家庭，感情，行為
紅色紫羅蘭,相信我,,,,,,,,感情，行為
粉紅紫羅蘭,豐富的愛情,,,,,,,,愛情
紫色紫羅蘭,大方的愛情,,,,,,,,愛情，家庭
黃色紫羅蘭,寂寞的戀情,,,,,,,,愛情，其他
白色紫羅蘭,暗戀,,,,,,,,愛情，家庭
天堂鳥,做作的戀情 閃耀的未來,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情
絳紅三葉草,閃閃發光的愛 點亮心火 簡樸可愛,,,,,,,,愛情，家庭，魅力，個性
夏雪片蓮,純粹 純真的心,,,,,,,,魅力，個性
雪球花,愛開玩笑 無比期待,,,,,,,,魅力，個性，感情，行為
煙霧樹,聰明 短暫的青春,,,,,,,,魅力，個性，其他
天竺葵,尊敬  信賴,,,,,,,,感情，行為
粉紅天竺葵,決心,,,,,,,,感情，行為
紅色天竺葵,有你很幸福,,,,,,,,治癒，幸福，喜悅，新生活，友情
黃色天竺葵,意外的相遇,,,,,,,,其他
新娘花,隱約的思慕 可愛的心,,,,,,,,魅力，個性，感情，行為
千日紅,不變的愛 不朽,,,,,,,,愛情，家庭，治癒，幸福，喜悅，新生活，友情，感情，行為
草珊瑚,財富 有天分,,,,,,,,財運，勝利，魅力，個性
藍花茄,暗戀,,,,,,,,感情，行為
一枝黃花,留意 鼓勵,,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
大理花,華麗 氣質 見異思遷,,,,,,,,魅力，個性，其他
晚香玉,危險的快樂,,,,,,,,其他
鬱金香,博愛 體貼 ,,,,,,,,治癒，幸福，喜悅，新生活，友情
紅色鬱金香,愛的告白,,,,,,,,愛情，家庭
黃色鬱金香,無望的愛情,,,,,,,,愛情，家庭
白色鬱金香,失去的愛,,,,,,,,愛情，家庭
紫色鬱金香,無盡的愛,,,,,,,,愛情，家庭
粉紅鬱金香,愛的萌芽,,,,,,,,愛情，家庭
橘色鬱金香,永遠的愛,,,,,,,,愛情，家庭
巧克力波斯菊,戀情的回憶 堅定不移的情感,,,,,,,,愛情，家庭，感情，行為
山茶花,低調的美好,,,,,,,,魅力，個性
紅色山茶花,樸實無華的魅力,,,,,,,,魅力，個性
白色山茶花,理想的愛,,,,,,,,愛情，家庭
粉紅山茶花,低調的愛,,,,,,,,愛情，家庭
南蛇藤,開運 大器晚成,,,,,,,,治癒，幸福，喜悅，新生活，友情，其他
紫嬌花,穩重的魅力 餘香,,,,,,,,魅力，個性，其他
大飛燕草,清明 高貴,,,,,,,,魅力，個性
